Tay,ESPORTSTMNT03_520947,PNG,0,1,4,134253,3696,17849,6897,116,19,10554,1,26772,9609,43,134,
tinowns,ESPORTSTMNT03_520947,PNG,4,2,1,348392,13288,4853,1027,26,66,365,1,8541,13168,309,25,
Matsukaze,ESPORTSTMNT03_520947,PNG,1,4,3,169530,15142,9122,3974,33,20,3765,5,9446,12254,301,15,
Loop,ESPORTSTMNT03_520947,PNG,0,5,4,29775,5001,40582,783,71,32,4658,5,18339,8457,95,0,
takeshi,ESPORTSTMNT03_530706,PNG,1,1,9,187205,16648,33559,8752,23,50,1647,1,15269,12616,280,8,
Tay,ESPORTSTMNT03_530706,PNG,2,0,7,151671,6229,23299,14317,126,20,11589,1,27794,11572,40,147,
tinowns,ESPORTSTMNT03_530706,PNG,3,0,6,366958,15403,7384,8352,35,14,2321,2,6777,14387,313,37,
Matsukaze,ESPORTSTMNT03_530706,PNG,4,0,6,218295,26928,4119,21319,44,8,2184,4,10189,16257,324,11,
Loop,ESPORTSTMNT03_530706,PNG,1,0,8,45791,6128,18691,1827,84,14,6350,5,12245,10245,97,0,
Zantins,ESPORTSTMNT03_530706,KBM,0,5,1,200091,8739,40530,5422,31,76,6896,1,34152,12734,315,20,
Ranger,ESPORTSTMNT03_530706,KBM,1,1,0,172053,3613,28981,11862,124,7,10489,1,25182,11093,35,163,
dyNquedo,ESPORTSTMNT03_530706,KBM,0,1,0,310743,12390,4880,4850,24,56,430,1,8433,12025,296,20,
Titan,ESPORTSTMNT03_530706,KBM,0,3,0,194391,15771,8585,14610,55,4,3761,3,11210,13632,339,13,
Riyev,ESPORTSTMNT03_530706,KBM,0,1,0,35467,2801,28402,2206,65,17,2417,5,16530,9295,104,0,
Zantins,ESPORTSTMNT03_520962,KBM,0,0,7,322666,15265,7959,15865,22,11,3049,1,10572,16393,326,28,
Ranger,ESPORTSTMNT03_520962,KBM,3,1,4,169297,8825,10638,33188,89,9,12170,1,20365,11715,34,143,
dyNquedo,ESPORTSTMNT03_520962,KBM,3,0,2,345372,8327,5589,10890,31,12,1906,2,5634,13523,293,20,
Titan,ESPORTSTMNT03_520962,KBM,0,0,3,174584,7262,8156,23451,46,16,3894,3,7315,13477,290,38,
Riyev,ESPORTSTMNT03_520962,KBM,1,0,3,39272,2903,14152,6039,55,14,5674,5,6638,9888,87,0,
takeshi,ESPORTSTMNT03_520962,PNG,0,1,0,155066,6409,12673,1996,29,10,275,1,17949,9716,266,0,
Tay,ESPORTSTMNT03_520962,PNG,1,2,0,104641,1886,12768,698,92,3,6682,1,18020,8544,31,106,
tinowns,ESPORTSTMNT03_520962,PNG,0,2,1,320312,4765,2652,887,25,15,484,1,7496,10447,275,18,
Matsukaze,ESPORTSTMNT03_520962,PNG,0,1,0,169346,4176,7777,7226,29,1,2262,3,5283,11323,320,4,
Loop,ESPORTSTMNT03_520962,PNG,0,1,0,30506,1302,24708,1284,65,8,4446,5,9879,7878,112,0,
Yampi,ESPORTSTMNT03_550161,CNB,0,5,4,338831,7361,36246,3157,44,47,4987,1,36321,13615,301,4,
Turtle,ESPORTSTMNT03_550161,CNB,0,2,4,164823,5312,33759,3921,90,18,20764,1,32003,11766,22,155,
Robo,ESPORTSTMNT03_550161,CNB,7,2,1,381087,39227,13627,24464,51,2,8945,1,25995,20574,447,52,
pbO,ESPORTSTMNT03_550161,CNB,1,2,3,274669,18257,9236,17566,45,8,1317,2,15913,16099,373,23,
Baiano,ESPORTSTMNT03_550161,CNB,0,3,5,28094,6353,19562,276,88,36,4272,4,20067,9025,55,0,
takeshi,ESPORTSTMNT03_550161,PNG,2,1,4,238459,17875,15417,19542,46,24,2566,1,19901,15165,338,4,
Tay,ESPORTSTMNT03_550161,PNG,3,2,6,194584,7022,32214,22468,106,7,13151,1,29899,13115,35,187,
tinowns,ESPORTSTMNT03_550161,PNG,6,1,6,369370,29986,54812,3339,50,31,5157,1,21440,14937,298,10,
Matsukaze,ESPORTSTMNT03_550161,PNG,3,2,6,230040,36123,4956,19715,65,4,3321,3,14641,16554,369,16,
Loop,ESPORTSTMNT03_550161,PNG,0,2,7,93416,9543,32955,2865,83,39,4774,4,22644,10156,99,4,
takeshi,ESPORTSTMNT03_550162,PNG,2,2,3,216509,24445,13053,4898,37,2,31402,1,32721,14522,324,4,
Tay,ESPORTSTMNT03_550162,PNG,2,2,7,174747,4140,24570,20055,114,7,12789,1,27827,12664,34,158,
tinowns,ESPORTSTMNT03_550162,PNG,7,2,5,198632,24836,24375,9277,44,25,5858,1,22054,15596,283,16,
Matsukaze,ESPORTSTMNT03_550162,PNG,2,2,8,267191,34994,7358,22267,46,35,2449,4,16655,15982,348,16,
Loop,ESPORTSTMNT03_550162,PNG,0,2,9,47281,7612,30909,2385,79,21,7645,5,19416,10475,77,0,
Yampi,ESPORTSTMNT03_550162,CNB,1,2,8,368510,23810,62500,1917,44,57,3030,1,30104,13660,325,2,
Turtle,ESPORTSTMNT03_550162,CNB,0,0,5,146730,8326,33493,7120,71,25,22475,1,37187,10067,29,136,
Robo,ESPORTSTMNT03_550162,CNB,4,6,4,220869,25193,15186,3378,37,27,3694,4,23877,14361,315,28,
pbO,ESPORTSTMNT03_550162,CNB,4,3,4,271215,23135,9205,14377,49,6,2452,4,15175,15311,361,16,
Baiano,ESPORTSTMNT03_550162,CNB,1,2,8,35581,3027,22479,2262,68,20,15779,5,16865,8848,64,0,
Yampi,ESPORTSTMNT03_550163,CNB,2,1,6,290767,8940,26986,7265,27,18,1480,1,16371,11572,230,0,
Turtle,ESPORTSTMNT03_550163,CNB,2,0,5,123000,4412,17423,19418,55,12,10842,1,17719,9618,30,115,
Robo,ESPORTSTMNT03_550163,CNB,5,2,6,175458,15891,6426,17160,38,0,2823,1,12483,13399,238,34,
pbO,ESPORTSTMNT03_550163,CNB,3,1,4,173639,10960,3302,21894,28,2,618,2,6470,12741,263,17,
Baiano,ESPORTSTMNT03_550163,CNB,0,0,6,22038,3181,6897,3073,57,17,2492,3,7123,6689,46,0,
takeshi,ESPORTSTMNT03_550163,PNG,0,2,2,154187,11996,8230,2247,19,1,18491,1,18542,9900,249,5,
Tay,ESPORTSTMNT03_550163,PNG,1,4,3,104531,4571,17619,1445,58,5,6694,1,19930,7792,17,113,
tinowns,ESPORTSTMNT03_550163,PNG,3,2,0,300976,8430,9093,904,38,17,2306,1,10071,10598,231,18,
Matsukaze,ESPORTSTMNT03_550163,PNG,0,2,2,157892,6673,3163,2944,25,5,540,2,7448,10825,300,4,
Loop,ESPORTSTMNT03_550163,PNG,0,2,2,34165,3019,17911,128,56,5,3349,5,11645,6135,58,0,
VVvert,ESPORTSTMNT03_550167,ONE,0,3,1,248076,14649,65526,169,27,27,14158,1,36089,14741,371,16,
4LaN,ESPORTSTMNT03_550167,ONE,0,4,2,151283,6250,29971,6939,111,12,9664,1,31364,11022,56,138,
Brucer,ESPORTSTMNT03_550167,ONE,1,3,1,321054,13532,7335,17879,56,8,1118,1,15787,16392,403,46,
Lactea,ESPORTSTMNT03_550167,ONE,3,3,0,359016,26264,15808,4385,44,18,2054,4,14724,15990,351,18,
RedBert,ESPORTSTMNT03_550167,ONE,0,4,2,191849,4504,20251,916,90,22,2796,4,16400,9621,121,0,
Yang,ESPORTSTMNT03_550167,VK,2,0,6,211447,16673,16064,10244,62,24,4606,1,19973,15489,315,12,
Revolta,ESPORTSTMNT03_550167,VK,5,1,8,211858,18766,16627,28615,117,12,17786,1,31713,14310,27,180,
